Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/06  12:00:00,789.52496158,78.555393893,328.09968,0.0,220.879908,151.653867033,93.4818453054,0.322913349181,48.3426,44.8163319563
 01/06  13:00:00,869.570386832,79.3421439637,405.799780587,0.0,220.879908,151.653867033,93.2832415013,0.0,48.3426,44.9406415013
 01/06  14:00:00,852.550952714,79.0324496193,396.463408006,0.0,220.879908,145.652643033,78.2120394558,0.0317708365741,24.1713,54.0089686193
 01/06  15:00:00,852.114387604,78.0327265094,396.975426987,0.0,220.879908,145.652643033,59.9201036807,0.0543770759647,24.1713,35.6944266047
 01/06  16:00:00,710.631302237,76.5554462578,265.662845579,0.0,220.879908,137.835547516,51.6994847937,2.17605125763,4.83426,44.6891735361
 01/06  17:00:00,628.897114621,75.7636554476,188.514142681,0.0,220.879908,133.019064,50.5505884394,10.2368357682,4.83426,35.4794926712
 01/06  18:00:00,525.53054358,75.7303620347,150.704489287,0.0,220.879908,53.238744,78.9007983256,38.591206633,4.83426,35.4753316927
 01/06  19:00:00,466.573889649,75.7303620347,92.6017902963,0.0,220.879908,53.238744,110.540555308,70.099840614,4.83426,35.6064546942
 01/06  20:00:00,418.476456268,75.7303620347,45.4604876836,0.0,220.879908,53.238744,110.091488977,96.5709978797,4.83426,8.68623109721
 01/06  21:00:00,379.768947605,75.7303620347,7.4622176052,0.0,220.879908,53.238744,170.534011056,157.024017081,4.83426,8.67573397501
 01/06  22:00:00,117.765713288,0.0,0.0,0.0,43.513341876,52.539744,13.5105848735,0.0,4.83426,8.67632487353
 01/06  23:00:00,117.813043456,0.0,0.0,0.0,43.513341876,52.539744,13.4758395553,0.0,4.83426,8.64157955531
 01/06  24:00:00,118.742784529,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  01:00:00,117.792850178,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  02:00:00,117.772324139,0.0,0.0,0.0,43.513341876,52.539744,13.4457401986,0.0,4.83426,8.61148019857
 01/07  03:00:00,117.777056847,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  04:00:00,117.753404843,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  05:00:00,118.155432693,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  06:00:00,118.120466766,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  07:00:00,118.12979785,0.0,0.0,0.0,43.513341876,52.539744,13.4456850674,0.0,4.83426,8.61142506736
 01/07  08:00:00,100.103049544,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  09:00:00,100.169422611,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  10:00:00,100.335697522,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  11:00:00,100.443515466,0.0,0.0,0.0,43.513341876,52.539744,22.2474550437,0.0,4.83426,17.4131950437
 01/07  12:00:00,101.283556274,0.0,0.0,0.0,43.513341876,52.539744,13.4861665136,0.0,4.83426,8.65190651361
 01/07  13:00:00,100.475852729,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  14:00:00,100.522780935,0.0,0.0,0.0,43.513341876,52.539744,13.4800219343,0.0,4.83426,8.64576193432
 01/07  15:00:00,100.496621313,0.0,0.0,0.0,43.513341876,52.539744,13.4799367741,0.0,4.83426,8.64567677414
 01/07  16:00:00,100.434678228,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  17:00:00,103.161925244,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  18:00:00,118.026189024,0.0,0.0,0.0,43.513341876,52.539744,13.4457350793,0.0,4.83426,8.61147507929
 01/07  19:00:00,117.972503712,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  20:00:00,118.37506935,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  21:00:00,118.324126333,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  22:00:00,118.059912907,0.0,0.0,0.0,43.513341876,52.539744,31.2169353945,0.0,4.83426,26.3826753945
 01/07  23:00:00,117.691287464,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/07  24:00:00,118.591735961,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  01:00:00,117.681049584,0.0,0.0,0.0,43.513341876,52.539744,13.4456845976,0.0,4.83426,8.61142459761
 01/08  02:00:00,117.66345973,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  03:00:00,117.648801374,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  04:00:00,117.643882679,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  05:00:00,118.067657851,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  06:00:00,118.022637361,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  07:00:00,118.050368843,0.0,0.0,0.0,43.513341876,52.539744,13.4458352525,0.0,4.83426,8.61157525246
 01/08  08:00:00,100.005170903,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  09:00:00,100.077194119,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  10:00:00,100.230239079,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/08  11:00:00,100.323095827,0.0,0.0,0.0,43.513341876,52.539744,22.2460665249,0.0,4.83426,17.4118065249
 01/08  12:00:00,101.197830424,0.0,0.0,0.0,43.513341876,52.539744,13.4865490399,0.0,4.83426,8.65228903989
